Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Kasper Schmeichel,Celtic,UEFA Europa League,GK,Goalkeeper,DEN,39,540,32.0,11.0,22.0,9.2,-1.8,0,24.0,76.0,225.0,18.0,6801.6,44.0,1752.0,85.0,2.0,7.0,137.0
Kauã Santos,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,BRA,22,540,39.0,21.0,18.0,17.0,-4.0,0,18.0,92.0,222.0,28.0,7668.8,26.0,1102.9,74.0,7.0,6.0,175.5
Kevin Trapp,Paris FC,French Ligue 1,GK,Goalkeeper,GER,35,540,25.0,11.0,13.0,11.2,0.2,2,19.0,77.0,224.0,28.0,6783.7,50.0,1711.9,89.0,4.0,6.0,126.0
Kiril Fesiun,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,23,360,8.0,3.0,5.0,2.9,-0.1,2,11.0,22.0,157.0,14.0,3900.8,12.0,287.0,38.0,2.0,15.0,383.2
Kjell Scherpen,Union SG,UEFA Champions League,GK,Goalkeeper,NED,25,540,29.0,15.0,14.0,12.4,-2.6,1,18.0,65.0,120.0,15.0,4396.3,38.0,1753.8,97.0,6.0,4.0,51.6
Kostas Tzolakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,23,450,21.0,13.0,8.0,8.5,-4.5,1,25.0,104.0,112.0,21.0,5698.9,24.0,1515.3,54.0,11.0,14.0,280.1
Krapyvtsov Vladyslav,Girona,Spanish La Liga,GK,Goalkeeper,UKR,20,136,9.0,6.0,3.0,3.4,-2.6,0,6.0,20.0,36.0,8.0,1096.0,11.0,600.2,22.0,0.0,0.0,0.0
Lasse Rieß,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,GER,24,359,27.0,13.0,14.0,9.9,-3.1,1,14.0,53.0,106.0,10.0,3891.1,22.0,837.3,29.0,1.0,6.0,122.1
Laurit Behluli,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,KVX,25,90,5.0,3.0,2.0,1.1,-1.9,0,2.0,9.0,4.0,3.0,121.2,16.0,654.4,14.0,0.0,0.0,0.0
Leo Román,Mallorca,Spanish La Liga,GK,Goalkeeper,ESP,25,1260,58.0,21.0,37.0,21.4,0.4,1,82.0,217.0,378.0,40.0,14052.1,78.0,3793.0,203.0,9.0,10.0,139.4
Lorenzo Montipò,Hellas Verona,Italian Serie A,GK,Goalkeeper,ITA,29,1710,78.0,31.0,49.0,23.3,-7.7,3,114.0,384.0,419.0,60.0,18316.8,143.0,8583.9,286.0,17.0,10.0,170.8
Lucas Bergström,Mallorca,Spanish La Liga,GK,Goalkeeper,FIN,23,450,22.0,7.0,15.0,6.6,-0.4,2,43.0,104.0,131.0,23.0,5561.6,37.0,2269.0,106.0,3.0,14.0,222.2
Lucas Chevalier,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,FRA,24,1800,57.0,21.0,35.0,19.4,-1.6,8,28.0,84.0,489.0,70.0,12198.4,69.0,2745.1,139.0,6.0,16.0,319.7
Lucas Perri,Leeds United,English Premier League,GK,Goalkeeper,BRA,28,1440,66.0,29.0,37.0,24.8,-4.2,3,87.0,343.0,543.0,70.0,21608.4,89.0,5324.7,225.0,9.0,7.0,130.5
Luiz Lúcio Reis Júnior,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BRA,24,1800,67.0,22.0,44.0,22.8,0.8,7,41.0,149.0,415.0,101.0,12336.4,86.0,3105.2,253.0,27.0,35.0,591.6
Lukáš Horníček,Braga,UEFA Europa League,GK,Goalkeeper,CZE,23,540,25.0,5.0,19.0,6.5,1.5,4,19.0,71.0,220.0,26.0,6776.8,19.0,741.0,79.0,3.0,10.0,188.2
Lukáš Hrádecký,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,FIN,36,809,37.0,12.0,26.0,13.0,1.0,2,28.0,90.0,210.0,25.0,6878.5,47.0,1827.0,117.0,5.0,11.0,217.2
Lukáš Zima,FCSB,UEFA Europa League,GK,Goalkeeper,CZE,31,165,13.0,4.0,9.0,5.0,1.0,0,6.0,21.0,39.0,14.0,1295.4,11.0,493.2,26.0,0.0,0.0,0.0
Mads Hermansen,West Ham,English Premier League,GK,Goalkeeper,DEN,25,360,20.0,11.0,9.0,9.2,-1.8,1,19.0,72.0,141.0,19.0,4778.9,16.0,981.1,72.0,5.0,1.0,10.4
Maduka Okoye,Udinese,Italian Serie A,GK,Goalkeeper,NGA,26,996,46.0,16.0,29.0,14.7,-1.4,3,78.0,200.0,337.0,28.0,12417.9,49.0,2876.6,169.0,10.0,17.0,296.0
Manuel Neuer,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,39,1710,51.0,19.0,33.0,16.4,-2.6,6,84.0,212.0,699.0,85.0,21624.5,81.0,2723.4,179.0,10.0,60.0,1444.6
Marco Bizot,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,NED,34,675,39.0,9.0,31.0,10.8,1.8,4,30.0,86.0,286.0,34.0,8112.5,34.0,1483.7,117.0,7.0,19.0,370.3
Marco Carnesecchi,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,25,2340,106.0,25.0,80.0,27.6,2.6,10,156.0,398.0,832.0,115.0,28317.5,139.0,7680.6,316.0,18.0,44.0,829.9
Marco Silvestri,Cremonese,Italian Serie A,GK,Goalkeeper,ITA,34,360,22.0,7.0,15.0,7.4,0.4,0,20.0,71.0,112.0,17.0,4111.8,44.0,1913.6,71.0,2.0,3.0,51.4
Marin Ljubić,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,CRO,28,180,10.0,7.0,3.0,5.2,-1.8,0,3.0,16.0,45.0,6.0,1427.0,14.0,593.8,23.0,1.0,3.0,55.6
Mark Flekken,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,NED,32,1980,109.0,36.0,74.0,33.4,-2.6,6,74.0,225.0,687.0,101.0,20540.6,122.0,5328.5,285.0,11.0,22.0,404.9
Marko Dmitrović,Espanyol,Spanish La Liga,GK,Goalkeeper,SRB,33,1710,80.0,20.0,60.0,20.4,0.4,7,103.0,328.0,461.0,68.0,19378.8,114.0,5979.8,275.0,22.0,15.0,265.3
Martin Dúbravka,Burnley,English Premier League,GK,Goalkeeper,SVK,36,1890,113.0,41.0,75.0,39.6,-1.4,3,148.0,454.0,554.0,91.0,19823.5,233.0,14114.5,378.0,14.0,13.0,161.4
Martin Jedlička,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,CZE,27,360,15.0,2.0,13.0,5.3,3.3,2,19.0,69.0,99.0,16.0,4050.8,23.0,1317.1,55.0,2.0,0.0,0.0
Martin Trnovský,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,SVK,25,90,1.0,0.0,1.0,0.3,0.3,1,2.0,9.0,21.0,3.0,684.6,11.0,294.8,23.0,2.0,0.0,0.0
Martin Zlomislić,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,BIH,27,450,15.0,2.0,12.0,3.8,1.8,3,21.0,59.0,151.0,26.0,4682.2,20.0,1097.4,46.0,5.0,4.0,61.4
Marvin Keller,Young Boys,UEFA Europa League,GK,Goalkeeper,SUI,23,540,32.0,12.0,20.0,9.2,-2.8,2,26.0,80.0,202.0,20.0,6206.0,53.0,2101.5,66.0,0.0,8.0,148.2
Marvin Schwäbe,Köln,German Bundesliga,GK,Goalkeeper,GER,30,1440,75.0,26.0,48.0,25.6,-0.4,2,154.0,375.0,656.0,42.0,23098.6,149.0,8415.4,275.0,6.0,14.0,259.5
Marwin Hitz,Basel,UEFA Europa League,GK,Goalkeeper,SUI,38,450,31.0,7.0,23.0,8.7,1.7,1,20.0,47.0,141.0,20.0,4589.4,18.0,634.2,56.0,6.0,3.0,51.5
Massimo Pessina,Bologna,Italian Serie A,GK,Goalkeeper,ITA,17,83,1.0,0.0,1.0,0.1,0.1,1,7.0,16.0,31.0,3.0,1171.8,1.0,71.0,10.0,2.0,1.0,11.5
Matej Kovar,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,CZE,25,540,35.0,11.0,24.0,11.4,0.4,0,34.0,100.0,230.0,34.0,8023.4,29.0,1354.1,85.0,5.0,3.0,50.9
Mateusz Kochalski,Qarabağ,UEFA Champions League,GK,Goalkeeper,POL,25,540,32.0,13.0,19.0,11.4,-1.6,1,27.0,98.0,168.0,14.0,5854.9,58.0,3028.9,87.0,1.0,7.0,139.9
Matheus,Red Star,UEFA Europa League,GK,Goalkeeper,BRA,33,540,20.0,5.0,15.0,7.2,2.2,3,39.0,97.0,188.0,21.0,6223.8,40.0,1568.5,88.0,7.0,8.0,125.4
Mathew Ryan,Levante,Spanish La Liga,GK,Goalkeeper,AUS,33,1440,83.0,25.0,58.0,26.6,1.6,3,96.0,245.0,447.0,86.0,15569.4,129.0,6297.5,269.0,16.0,17.0,303.2
Mathias Dyngeland,Brann,UEFA Europa League,GK,Goalkeeper,NOR,30,540,27.0,7.0,20.0,9.6,2.6,3,39.0,121.0,285.0,16.0,9559.1,25.0,1153.1,113.0,4.0,11.0,182.5
Matteo Bignetti,Sturm Graz,UEFA Europa League,GK,Goalkeeper,AUT,21,90,6.0,2.0,4.0,2.6,0.6,0,3.0,17.0,25.0,2.0,910.0,12.0,519.6,18.0,0.0,1.0,10.0
Mattia Perin,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,33,360,18.0,6.0,12.0,5.1,-0.9,0,11.0,23.0,75.0,14.0,2388.2,18.0,565.8,34.0,1.0,1.0,36.0
Matvei Safonov,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,RUS,26,270,8.0,2.0,6.0,2.0,0.0,2,9.0,22.0,89.0,15.0,2301.7,7.0,333.0,36.0,2.0,6.0,97.4
Matz Sels,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,BEL,33,1723,83.0,31.0,54.0,27.1,-3.9,4,83.0,274.0,460.0,70.0,17578.2,110.0,4321.2,261.0,7.0,21.0,416.5
Matías Dituro,Elche,Spanish La Liga,GK,Goalkeeper,ARG,38,630,25.0,7.0,18.0,7.5,0.5,1,69.0,151.0,399.0,25.0,12398.6,37.0,1881.8,92.0,11.0,26.0,471.7
Maxime Dupé,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,FRA,32,180,7.0,2.0,5.0,2.7,0.7,0,8.0,26.0,75.0,5.0,2226.5,7.0,349.2,18.0,1.0,0.0,0.0
Melker Ellborg,Malmö,UEFA Europa League,GK,Goalkeeper,SWE,22,270,19.0,5.0,13.0,7.1,2.1,0,5.0,50.0,77.0,13.0,2763.2,29.0,1359.4,69.0,2.0,1.0,27.0
Melvin Zinga,Angers,French Ligue 1,GK,Goalkeeper,FRA,23,180,11.0,4.0,7.0,3.5,-0.5,0,8.0,23.0,49.0,14.0,1628.0,14.0,509.9,44.0,1.0,0.0,0.0
Michael Brouwer,Utrecht,UEFA Europa League,GK,Goalkeeper,NED,32,112,10.0,2.0,8.0,2.5,0.5,1,10.0,25.0,31.0,4.0,1245.3,7.0,338.2,21.0,0.0,1.0,16.2
Michael Zetterer,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,30,1440,74.0,28.0,46.0,22.6,-5.4,4,87.0,249.0,615.0,105.0,20620.3,74.0,3101.2,217.0,11.0,15.0,229.7
Michele Di Gregorio,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,28,1980,67.0,20.0,47.0,20.7,0.7,9,60.0,158.0,539.0,95.0,16338.7,79.0,2906.3,262.0,20.0,13.0,279.1
Mike Maignan,Milan,Italian Serie A,GK,Goalkeeper,FRA,30,1585,59.0,15.0,42.0,20.3,5.3,7,47.0,163.0,521.0,84.0,16570.6,71.0,3226.8,292.0,23.0,11.0,208.5
Mike Penders,Strasbourg,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,BEL,20,1980,84.0,26.0,58.0,27.1,1.1,7,67.0,174.0,1045.0,53.0,24808.7,64.0,2781.5,287.0,20.0,22.0,339.4
Mile Svilar,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,SRB,26,2340,87.0,17.0,70.0,23.0,6.0,11,115.0,332.0,802.0,149.0,26448.5,162.0,7530.4,239.0,22.0,22.0,377.3
Mio Backhaus,Werder Bremen,German Bundesliga,GK,Goalkeeper,GER,21,1170,75.0,24.0,52.0,24.9,0.9,3,27.0,87.0,412.0,78.0,11322.7,49.0,2048.0,215.0,20.0,12.0,188.3
Mirko Salvi,Basel,UEFA Europa League,GK,Goalkeeper,SUI,31,90,5.0,2.0,3.0,1.7,-0.3,0,1.0,3.0,20.0,4.0,572.0,2.0,66.0,13.0,0.0,2.0,63.0
Miłosz Piekutowski,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,POL,19,180,9.0,2.0,7.0,2.9,0.9,0,6.0,17.0,57.0,7.0,1462.1,11.0,407.8,33.0,2.0,2.0,25.4
Moritz Nicolas,Gladbach,German Bundesliga,GK,Goalkeeper,GER,28,1440,73.0,24.0,49.0,24.2,0.2,7,94.0,203.0,491.0,67.0,15294.9,58.0,2989.5,239.0,12.0,17.0,301.5
Mory Diaw,Le Havre,French Ligue 1,GK,Goalkeeper,SEN,32,1440,61.0,22.0,39.0,18.0,-4.0,5,84.0,212.0,495.0,80.0,15951.3,111.0,4125.6,249.0,29.0,20.0,290.2
Nauzet García,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,ESP,31,90,10.0,5.0,5.0,4.1,-0.9,0,5.0,14.0,29.0,2.0,1070.1,4.0,140.0,17.0,1.0,2.0,29.6
Neofytos Michael,Pafos FC,UEFA Champions League,GK,Goalkeeper,CYP,31,540,36.0,9.0,27.0,9.7,0.7,3,25.0,102.0,183.0,29.0,6176.7,62.0,3225.0,120.0,3.0,3.0,51.0
Nick Pope,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,33,1786,86.0,21.0,66.0,21.4,0.4,9,62.0,227.0,437.0,138.0,14165.3,144.0,6934.9,246.0,30.0,48.0,897.2
Nicola Leali,Genoa,Italian Serie A,GK,Goalkeeper,ITA,32,1622,77.0,25.0,53.0,24.5,-0.5,3,82.0,241.0,430.0,50.0,15968.9,71.0,3197.0,266.0,11.0,15.0,330.9
Nikita Haikin,Bodø/Glimt,UEFA Champions League,GK,Goalkeeper,RUS,30,540,50.0,13.0,38.0,17.1,4.1,0,26.0,85.0,203.0,29.0,6833.8,24.0,1189.3,104.0,8.0,3.0,59.6
Niklas Hedl,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,AUT,24,360,21.0,9.0,12.0,7.5,-1.5,0,20.0,52.0,70.0,9.0,2615.7,28.0,1601.1,49.0,1.0,11.0,257.7
Nikola Vasilj,St. Pauli,German Bundesliga,GK,Goalkeeper,BIH,30,1350,79.0,26.0,51.0,30.0,4.0,2,41.0,161.0,527.0,58.0,15984.7,26.0,1140.2,158.0,14.0,14.0,215.7
Noah Atubolu,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,GER,23,1980,88.0,30.0,57.0,29.0,-1.0,7,151.0,445.0,881.0,78.0,31652.6,109.0,6385.2,267.0,12.0,35.0,693.7
Nordin Jackers,Club Brugge,UEFA Champions League,GK,Goalkeeper,BEL,28,432,32.0,13.0,20.0,9.2,-3.8,0,30.0,89.0,175.0,20.0,6323.9,22.0,1137.0,62.0,4.0,3.0,48.9
Obed Nkambadio,Paris FC,French Ligue 1,GK,Goalkeeper,FRA,22,990,43.0,20.0,22.0,15.8,-4.2,1,29.0,110.0,416.0,49.0,11791.5,71.0,1980.6,147.0,4.0,12.0,192.0
Odysseas Vlachodimos,Sevilla,Spanish La Liga,GK,Goalkeeper,GRE,31,1350,74.0,23.0,51.0,26.1,3.1,3,71.0,211.0,462.0,79.0,15893.8,85.0,4007.1,181.0,4.0,8.0,108.5
Ognjen Čančarević,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,ARM,36,90,4.0,2.0,2.0,1.7,-0.3,0,5.0,17.0,31.0,1.0,1088.1,5.0,258.0,16.0,0.0,1.0,18.0
Okan Kocuk,Samsunspor,UEFA Europa Conference League,GK,Goalkeeper,TUR,30,540,14.0,6.0,8.0,6.3,0.3,3,19.0,47.0,137.0,28.0,3793.6,44.0,1593.5,78.0,6.0,5.0,113.8
Oliver Baumann,Hoffenheim,German Bundesliga,GK,Goalkeeper,GER,35,1350,62.0,20.0,42.0,19.5,-0.5,3,72.0,228.0,555.0,48.0,18624.5,60.0,2622.1,235.0,11.0,43.0,844.0
Oliver Christensen,Sturm Graz,UEFA Europa League,GK,Goalkeeper,DEN,26,450,22.0,6.0,16.0,6.7,0.7,1,11.0,51.0,127.0,17.0,4233.7,22.0,791.7,79.0,0.0,4.0,77.6
Oliwier Zych,Raków,UEFA Europa Conference League,GK,Goalkeeper,POL,21,360,17.0,1.0,16.0,3.2,2.2,3,17.0,69.0,118.0,15.0,4179.5,26.0,1547.2,45.0,4.0,1.0,15.0
Pablo Cuñat,Levante,Spanish La Liga,GK,Goalkeeper,ESP,23,180,14.0,5.0,10.0,4.7,-0.3,0,11.0,37.0,45.0,14.0,1878.9,26.0,1250.8,46.0,2.0,1.0,9.9
Pape Mamadou Sy,Metz,French Ligue 1,GK,Goalkeeper,SEN,28,76,8.0,4.0,4.0,2.9,-1.1,0,6.0,19.0,21.0,2.0,867.3,8.0,447.2,10.0,1.0,1.0,17.0
Patrik Carlgren,Nantes,French Ligue 1,GK,Goalkeeper,SWE,33,92,5.0,2.0,3.0,0.7,-1.3,0,2.0,19.0,29.0,8.0,1199.0,9.0,403.8,39.0,1.0,0.0,0.0
Pau López,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ESP,30,720,31.0,9.0,21.0,9.0,0.0,2,28.0,77.0,198.0,32.0,6195.8,51.0,2352.4,109.0,4.0,6.0,132.9
Paul Argney,Le Havre,French Ligue 1,GK,Goalkeeper,FRA,19,90,3.0,1.0,2.0,1.0,0.0,0,4.0,9.0,28.0,3.0,772.8,5.0,165.0,18.0,2.0,0.0,0.0
Paul Gartler,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,AUT,28,180,13.0,5.0,8.0,4.3,-0.7,0,11.0,42.0,48.0,4.0,2081.7,18.0,985.5,24.0,1.0,6.0,146.8
Paulo Gazzaniga,Girona,Spanish La Liga,GK,Goalkeeper,ARG,34,1572,87.0,28.0,59.0,28.8,0.8,3,68.0,254.0,588.0,81.0,19250.8,93.0,5274.8,280.0,11.0,20.0,339.1
Pavlo Isenko,CS U Craiova,UEFA Europa Conference League,GK,Goalkeeper,UKR,22,539,24.0,8.0,16.0,8.4,0.4,2,22.0,59.0,137.0,23.0,4355.4,48.0,1591.8,110.0,2.0,5.0,96.4
Peter Vindahl Jensen,Sparta Prague,UEFA Europa Conference League,GK,Goalkeeper,DEN,27,450,11.0,2.0,9.0,2.1,0.1,3,17.0,44.0,197.0,22.0,5371.8,11.0,464.0,35.0,0.0,8.0,182.7
Philipp Köhn,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,SUI,27,1261,69.0,26.0,44.0,24.3,-1.7,4,35.0,91.0,331.0,65.0,9247.6,67.0,2147.0,169.0,12.0,25.0,442.8
Pietro Terracciano,Milan,Italian Serie A,GK,Goalkeeper,ITA,35,125,4.0,0.0,4.0,0.2,0.2,2,7.0,9.0,30.0,5.0,919.2,6.0,260.0,19.0,1.0,0.0,0.0
Péter Gulácsi,RB Leipzig,German Bundesliga,GK,Goalkeeper,HUN,35,1350,56.0,19.0,37.0,18.7,-0.3,7,35.0,112.0,442.0,62.0,12662.2,80.0,3013.0,208.0,12.0,21.0,365.9
Radosław Majecki,Brest,French Ligue 1,GK,Goalkeeper,POL,25,864,41.0,15.0,26.0,11.2,-5.1,3,69.0,147.0,279.0,42.0,10055.9,61.0,3133.3,145.0,9.0,5.0,69.3
Razvan Sava,Udinese,Italian Serie A,GK,Goalkeeper,ROU,23,620,26.0,14.0,12.0,9.8,-4.2,1,19.0,58.0,159.0,24.0,4635.5,38.0,1569.4,83.0,2.0,6.0,129.8
Remko Pasveer,Ajax,UEFA Champions League,GK,Goalkeeper,NED,41,180,18.0,8.0,10.0,7.7,-0.3,0,10.0,41.0,85.0,12.0,3153.5,13.0,539.5,33.0,1.0,0.0,0.0
Robert Sánchez,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,28,2164,85.0,28.0,58.0,29.4,1.2,10,122.0,387.0,909.0,107.0,30154.5,104.0,5611.9,262.0,33.0,23.0,399.6
Robin Olsen,Malmö,UEFA Europa League,GK,Goalkeeper,SWE,35,270,25.0,7.0,18.0,7.7,0.7,0,13.0,36.0,68.0,12.0,2556.2,22.0,747.2,45.0,0.0,2.0,31.0
Robin Risser,Lens,French Ligue 1,GK,Goalkeeper,FRA,21,1530,61.0,13.0,46.0,18.0,5.0,6,52.0,151.0,448.0,67.0,14051.5,78.0,3082.5,222.0,11.0,10.0,188.3
Robin Roefs,Sunderland,English Premier League,GK,Goalkeeper,NED,22,1890,93.0,22.0,71.0,25.4,3.4,7,99.0,389.0,775.0,88.0,27456.6,115.0,7154.9,374.0,38.0,24.0,418.4
Robin Zentner,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,GER,31,1079,43.0,12.0,32.0,10.6,-1.4,2,88.0,277.0,380.0,26.0,16591.4,73.0,3908.8,133.0,10.0,17.0,290.9
Roei Mashpati,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,ISR,33,540,36.0,18.0,18.0,16.1,-1.9,1,24.0,53.0,212.0,19.0,6001.0,14.0,396.2,85.0,5.0,3.0,41.6
Rome-Jayden Owusu-Oduro,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,NED,21,540,22.0,7.0,14.0,7.7,0.7,4,18.0,67.0,155.0,19.0,4971.0,24.0,1403.3,66.0,8.0,7.0,123.2
Rui Silva,Sporting CP,UEFA Champions League,GK,Goalkeeper,POR,31,450,25.0,7.0,18.0,6.9,-0.1,1,15.0,38.0,143.0,22.0,3719.7,26.0,836.0,55.0,4.0,3.0,51.9
Ruslan Neshcheret,Dynamo Kyiv,UEFA Europa Conference League,GK,Goalkeeper,UKR,23,540,30.0,9.0,21.0,9.4,0.4,2,31.0,72.0,238.0,30.0,7033.9,33.0,1410.4,74.0,3.0,6.0,84.1
Rémy Descamps,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,FRA,29,540,15.0,4.0,12.0,5.4,1.4,4,9.0,34.0,184.0,22.0,4904.4,19.0,581.0,70.0,2.0,5.0,87.2
Sam Johnstone,Wolves,English Premier League,GK,Goalkeeper,ENG,32,1080,59.0,24.0,39.0,18.7,-5.3,0,111.0,301.0,390.0,54.0,16355.3,100.0,5483.8,212.0,9.0,19.0,322.3
Senne Lammens,Manchester Utd,English Premier League,GK,Goalkeeper,BEL,23,1350,53.0,21.0,33.0,21.6,0.6,2,83.0,277.0,415.0,33.0,16335.1,82.0,4649.6,240.0,13.0,13.0,274.6
Sergio Herrera,Osasuna,Spanish La Liga,GK,Goalkeeper,ESP,32,1710,93.0,22.0,71.0,27.0,5.0,5,111.0,260.0,474.0,86.0,15485.0,163.0,7228.8,262.0,12.0,49.0,1179.1
Sergio Padt,Ludogorets,UEFA Europa League,GK,Goalkeeper,NED,35,270,14.0,6.0,9.0,4.6,-1.4,0,12.0,42.0,96.0,8.0,3281.2,10.0,365.9,45.0,3.0,3.0,44.9
Sherhan Kalmurza,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,KAZ,18,180,20.0,9.0,10.0,7.9,-1.1,0,9.0,28.0,41.0,10.0,1428.6,21.0,1020.1,24.0,2.0,2.0,30.0
Simon Mignolet,Club Brugge,UEFA Champions League,GK,Goalkeeper,BEL,37,18,1.0,0.0,0.0,0.7,0.0,0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Simone Scuffet,Pisa,Italian Serie A,GK,Goalkeeper,ITA,29,270,7.0,5.0,2.0,3.7,-1.3,0,29.0,47.0,97.0,12.0,3371.8,12.0,500.1,37.0,2.0,1.0,11.0
Stefan Târnovanu,FCSB,UEFA Europa League,GK,Goalkeeper,ROU,25,371,29.0,7.0,22.0,8.5,0.8,1,26.0,67.0,99.0,21.0,3715.5,34.0,1794.1,72.0,5.0,2.0,23.3
Stefano Turati,Sassuolo,Italian Serie A,GK,Goalkeeper,ITA,23,90,4.0,2.0,2.0,1.2,-0.8,0,0.0,16.0,23.0,4.0,936.1,3.0,201.9,9.0,1.0,1.0,10.0
Stole Dimitrievski,Valencia,Spanish La Liga,GK,Goalkeeper,MKD,32,90,1.0,1.0,0.0,0.4,-0.6,0,6.0,12.0,21.0,2.0,825.3,0.0,0.0,11.0,1.0,0.0,0.0
Sławomir Abramowicz,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,POL,21,360,8.0,2.0,6.0,2.5,0.5,3,6.0,33.0,76.0,10.0,2470.4,21.0,794.1,56.0,2.0,0.0,0.0
Temirlan Anarbekov,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,KAZ,22,360,30.0,6.0,24.0,10.5,4.5,1,12.0,43.0,94.0,21.0,3378.3,17.0,675.5,77.0,2.0,5.0,123.2
Thibaut Courtois,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BEL,33,2160,92.0,21.0,71.0,23.2,2.2,10,72.0,224.0,724.0,112.0,22052.0,102.0,4250.0,242.0,16.0,44.0,899.5
Thomas Strakosha,AEK Athens,UEFA Europa Conference League,GK,Goalkeeper,ALB,30,540,23.0,7.0,17.0,7.8,0.8,2,23.0,58.0,135.0,20.0,4415.8,37.0,1264.2,71.0,6.0,5.0,89.5
Théo De Percin,Auxerre,French Ligue 1,GK,Goalkeeper,MTQ,24,226,11.0,4.0,7.0,2.8,-1.2,0,16.0,52.0,73.0,6.0,3097.7,12.0,725.8,41.0,3.0,4.0,74.1
Timon Wellenreuther,Feyenoord,UEFA Europa League,GK,Goalkeeper,GER,30,540,24.0,13.0,11.0,11.0,-2.0,0,33.0,78.0,199.0,25.0,6696.1,13.0,445.0,58.0,4.0,12.0,232.8
Timothy Fayulu,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,NAN,26,450,12.0,5.0,7.0,4.5,-0.5,1,15.0,46.0,174.0,15.0,5204.1,32.0,1010.0,56.0,3.0,10.0,147.1
Tommaso Martinelli,Fiorentina,UEFA Europa Conference League,GK,Goalkeeper,ITA,19,180,9.0,3.0,6.0,3.1,0.1,0,3.0,10.0,63.0,18.0,1468.6,7.0,105.2,27.0,1.0,2.0,26.6
Unai Simón,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,28,2250,102.0,34.0,69.0,31.4,-2.6,7,117.0,399.0,720.0,105.0,25738.5,127.0,7480.5,252.0,25.0,65.0,1496.3
Uğurcan Çakır,Galatasaray,UEFA Champions League,GK,Goalkeeper,TUR,29,517,21.0,7.0,15.0,6.9,-1.7,2,38.0,101.0,217.0,22.0,8156.6,24.0,1070.1,71.0,2.0,7.0,145.4
